Municipio,Porcentaje de mujeres
San Francisco Lachigoló ,52.0230105465005
Coicoyán de las Flores ,53.3619157168253
Magdalena Jaltepec ,54.502208630649
San Juan Bautista Coixtlahuaca,51.7798165137615
San Juan Evangelista Analco ,52.8255528255528
San Mateo Sindihui ,52.8578654527061
San Pedro Jocotipac ,53.2876712328767
Villa Talea de Castro ,53.0084535057185
Santa Cruz Xoxocotlán,53.1722475647895
Santa María Xadani,50.6172839506173
San Juan Cotzocón,51.6886472999465
San Jerónimo Silacayoapilla ,51.0846745976207
Nuevo Zoquiápam ,52.0754716981132
Teococuilco de Marcos Pérez ,51.6472868217054
San Juan Bautista Tlachichilco,53.2881355932203
Santiago Juxtlahuaca,52.4197495321722
Guadalupe Etla ,52.3045407989075
Santo Domingo Chihuitán ,50.9888751545117
San Pedro y San Pablo Tequixtepec ,54.2072123640527
Huautepec ,53.3750978856695
Santo Domingo Tonaltepec ,53.2
San Jacinto Tlacotepec ,51.858486341245
San Agustín de las Juntas,51.6548152049864
Santa María Tataltepec ,51.4195583596215
Miahuatlán de Porfirio Díaz,51.1602977667494
Santa María Nduayaco ,51.6556291390728
Santo Domingo Roayaga ,52.1785334750266
San Antonio Acutla ,49.3975903614458
Santa Inés Yatzeche ,53.5242290748899
Cuyamecalco Villa de Zaragoza ,49.3139407244786
San Miguel Ahuehuetitlán,51.7740429505135
San Agustín Amatengo ,50.8474576271186
Teotitlán del Valle,52.4874843554443
Santiago Niltepec,51.048296518158
San Mateo del Mar ,49.9646779269154
San Pedro Jaltepetongo ,52.1739130434783
Santa Cruz Itundujia,52.3020257826888
Santa Lucía Ocotlán ,52.7677929547088
San Ildefonso Villa Alta ,51.6181669839543
Santa Catarina Mechoacán ,51.1567001309472
San Juan Chilateca,54.2049934296978
San Juan Bautista Tlacoatzintepec,53.8743695552499
Santiago Miltepec ,50.1187648456057
San Andrés Huaxpaltepec,51.9730510105871
San Pedro Tapanatepec,50.8107758899154
San Bartolo Yautepec ,50.8422664624809
San Antonio Sinicahua ,55.6354916067146
San Cristóbal Amoltepec ,53.9936102236422
Magdalena Mixtepec ,51.7096999302163
Santa María Guelacé ,52.7533039647577
San Sebastián Teitipac ,53.9972590223846
Santa Cruz Tacache de Mina ,52.7891156462585
Santiago Apoala ,53.9744847890088
San Pedro Comitancillo ,52.3424878836834
Santa Cruz Nundaco ,55.0321924771264
San Andrés Sinaxtla,53.1746031746032
San Pedro Topiltepec ,50.9383378016086
San Juan Juquila Vijanos,52.9787234042553
Asunción Tlacolulita ,51.6348773841962
San Juan Bautista Lo de Soto,49.7866894197952
Santa Catarina Quiané ,51.2539899680803
Tanetze de Zaragoza ,52.1181001283697
La Reforma,50.8941659337438
San Miguel Suchixtepec ,52.2169167803547
Santa María Tecomavaca ,51.3114754098361
Guevea de Humboldt,52.720700152207
San José Independencia ,51.7054810632792
San Antonio Tepetlapa,52.4728093576852
Santa Ana ,50.6234413965087
San Agustín Tlacotepec ,55.8139534883721
San Martín Zacatepec ,49.8489425981873
Santa María Tlalixtac ,49.7553017944535
Santa Cruz Acatepec ,53.0091185410334
Santa Cruz Tacahua ,52.5380710659898
San Pedro Mártir ,54.3443917851501
Santiago Laxopa ,53.9116963594113
Santa Cruz de Bravo ,53.4246575342466
San Martín Lachilá ,55.0290135396518
Santa Catarina Ticuá,56.5922920892495
San Dionisio Ocotepec,52.5633160985014
Total estatal,52.2078347629369
Ciénega de Zimatlán ,51.8895826487019
Santa María Yucuhiti,52.5632490013316
San Pedro Mixtepec,51.7717959019687
San Felipe Tejalápam,52.1321832098166
San Nicolás Hidalgo ,52.1572387344199
San Miguel del Puerto,50.0877090398784
Mixistlán de la Reforma ,54.0812223562525
Santa Gertrudis ,52.0581113801453
Santa María Jalapa del Marqués,51.7682147422241
Santo Tomás Tamazulapan,52.017608217168
Calihualá ,50.7845934379458
Loma Bonita,52.3794400742659
San Baltazar Chichicápam ,52.445652173913
Santa María Chilchotla ,51.6838231869207
San Pedro Taviche,52.0471894517696
San Bernardo Mixtepec ,52.1032166843408
Santa María Camotlán ,52.0723876240514
Santiago Comaltepec ,53.3275713050994
San Bartolomé Ayautla ,52.7717259743404
Santiago Ixtayutla ,52.8025936599424
Pluma Hidalgo ,51.4592933947773
San Juan Chicomezúchil,55.0675675675676
Villa Sola de Vega,51.7813765182186
Matías Romero Avendaño ,52.3976638818322
Asunción Ixtaltepec,50.5274883690453
Santiago Huauclilla,53.3333333333333
Santiago Tlazoyaltepec ,53.8730158730159
San Lucas Camotlán ,51.7100721681832
Guadalupe de Ramírez ,52.3291925465838
Santo Domingo Xagacía ,54.0248962655602
Santa María Temaxcalapa ,50.9413067552602
Santa Ana Ateixtlahuaca ,50.104821802935
San Miguel Yotao ,53.5042735042735
Ixpantepec Nieves ,54.8656163113994
San Miguel el Grande ,53.443079063297
Candelaria Loxicha ,51.1911158875157
Yutanduchi de Guerrero ,51.7154811715481
San Marcos Arteaga ,53.1887755102041
Santiago Tepetlapa ,60.0
Santa María Chimalapa ,49.9895594069743
San Miguel Peras ,52.2786799371399
Santiago Yaitepec ,54.9728325064966
Ciudad Ixtepec,52.6422619471548
Santa María Nativitas ,54.228855721393
Santa María Yavesía ,54.147465437788
San Andrés Yaá ,53.1806615776081
Santa María Yolotepec ,53.014553014553
Constancia del Rosario ,55.1268826077986
Salina Cruz,52.1033184111419
San Mateo Etlatongo ,51.089588377724
San Juan de los Cués,51.0945890128046
Santiago Textitlán ,50.9127789046653
San Pedro Amuzgos,53.5585042219542
Santa Cruz Tayata ,50.7563025210084
Santiago Tillo ,52.4770642201835
Santiago Tetepec ,51.5583621918924
San Juan Comaltepec,51.1232349165597
San Pedro Apóstol ,53.1367628607277
Santa María Ipalapa ,52.8085280852808
San Juan Ñumí,54.6509613719037
Santa Catarina Tayata ,52.2658610271903
Cuilápam de Guerrero,52.1501376385686
Santa María Petapa ,51.6341434215252
San Miguel Quetzaltepec,51.5509195717815
San Sebastián Nicananduta ,54.3450064850843
San Juan Diuxi,52.9356060606061
Santa Catarina Ixtepeji ,52.8224299065421
Reyes Etla ,51.8306636155606
San Pedro Atoyac ,53.6521166922571
San Juan del Estado,52.190951193445
San Nicolás ,52.2240527182867
San Pablo Etla,53.0673054451975
Oaxaca de Juárez,53.5524349061652
Santa María Lachixío ,54.73496128648
San Francisco Ozolotepec ,52.3373052245646
San Miguel Chimalapa,49.1133959171509
San Juan Cieneguilla,48.2824427480916
San Pedro Mártir Quiechapa ,53.1165311653117
San Sebastián Río Hondo ,50.0237981913375
Santiago Ihuitlán Plumas ,54.5454545454545
Santiago Ayuquililla ,51.5495867768595
Santa Catarina Lachatao ,54.2020774315392
Ayoquezco de Aldama ,51.579811243332
San Miguel Chicahua ,55.232826187183
San Juan Yatzona ,55.2272727272727
Nazareno Etla ,52.108082925693
San Pablo Tijaltepec ,53.580516175936
Santa María Huatulco,51.1344422161928
San Bartolo Soyaltepec ,51.510067114094
Villa de Tamazulápam del Progreso,54.8883017055008
Coatecas Altas ,52.8192681105302
San Mateo Nejápam ,53.6565324568611
San Pedro Cajonos ,54.209065679926
San Juan Teita,52.2058823529412
San Gabriel Mixtepec ,51.2219959266802
San Juan Bautista Cuicatlán,50.4003859141341
Nejapa de Madero,50.941841299741
Unión Hidalgo,51.3340668408747
Santa María Yalina ,55.2
Tepelmeme Villa de Morelos,53.265306122449
Villa Tejúpam de la Unión ,52.0463001240182
