Municipio,Población total
Santa Cruz Xoxocotlán,100402.0
Santa María Xadani,9234.0
San Juan Cotzocón,22444.0
San Jerónimo Silacayoapilla ,1429.0
Nuevo Zoquiápam ,1590.0
Teococuilco de Marcos Pérez ,1032.0
San Juan Bautista Tlachichilco,1475.0
Santiago Juxtlahuaca,34735.0
Guadalupe Etla ,2929.0
Santo Domingo Chihuitán ,1618.0
San Pedro y San Pablo Tequixtepec ,1747.0
Huautepec ,6385.0
Santo Domingo Tonaltepec ,250.0
San Jacinto Tlacotepec ,2233.0
San Agustín de las Juntas,11391.0
Santa María Tataltepec ,317.0
Miahuatlán de Porfirio Díaz,50375.0
Santa María Nduayaco ,453.0
Santo Domingo Roayaga ,941.0
San Antonio Acutla ,249.0
Santa Inés Yatzeche ,908.0
Cuyamecalco Villa de Zaragoza ,3644.0
San Miguel Ahuehuetitlán,2142.0
San Agustín Amatengo ,1593.0
Teotitlán del Valle,6392.0
Santiago Niltepec,5342.0
San Mateo del Mar ,15571.0
San Pedro Jaltepetongo ,483.0
Santa Cruz Itundujia,10860.0
Santa Lucía Ocotlán ,4173.0
San Ildefonso Villa Alta ,3677.0
Santa Catarina Mechoacán ,4582.0
San Juan Chilateca,1522.0
San Juan Bautista Tlacoatzintepec,2181.0
Santiago Miltepec ,421.0
San Andrés Huaxpaltepec,6234.0
San Pedro Tapanatepec,15479.0
San Bartolo Yautepec ,653.0
San Antonio Sinicahua ,1668.0
San Cristóbal Amoltepec ,1252.0
Magdalena Mixtepec ,1433.0
Santa María Guelacé ,908.0
San Sebastián Teitipac ,2189.0
Santa Cruz Tacache de Mina ,2940.0
Santiago Apoala ,1019.0
San Pedro Comitancillo ,4333.0
Santa Cruz Nundaco ,2951.0
San Andrés Sinaxtla,756.0
San Pedro Topiltepec ,373.0
San Juan Juquila Vijanos,1880.0
Asunción Tlacolulita ,734.0
San Juan Bautista Lo de Soto,2344.0
Santa Catarina Quiané ,2193.0
Tanetze de Zaragoza ,1558.0
La Reforma,3411.0
San Miguel Suchixtepec ,2932.0
Santa María Tecomavaca ,1830.0
Guevea de Humboldt,5256.0
San José Independencia ,4251.0
San Antonio Tepetlapa,4873.0
Santa Ana ,2406.0
San Agustín Tlacotepec ,1032.0
San Martín Zacatepec ,1324.0
Santa María Tlalixtac ,1839.0
Santa Cruz Acatepec ,1645.0
Santa Cruz Tacahua ,1182.0
San Pedro Mártir ,1899.0
Santiago Laxopa ,1291.0
Santa Cruz de Bravo ,365.0
San Martín Lachilá ,1034.0
Santa Catarina Ticuá,986.0
San Dionisio Ocotepec,11411.0
Total estatal,4.132148e6
Ciénega de Zimatlán ,3043.0
Santa María Yucuhiti,6008.0
San Pedro Mixtepec,49780.0
San Felipe Tejalápam,8231.0
San Nicolás Hidalgo ,1043.0
San Miguel del Puerto,8551.0
Mixistlán de la Reforma ,2487.0
Santa Gertrudis ,2891.0
Santa María Jalapa del Marqués,11735.0
Santo Tomás Tamazulapan,2726.0
Calihualá ,1402.0
Loma Bonita,40934.0
San Baltazar Chichicápam ,2576.0
Santa María Chilchotla ,21469.0
San Pedro Taviche,1441.0
San Bernardo Mixtepec ,2829.0
Santa María Camotlán ,1713.0
Santiago Comaltepec ,1157.0
San Bartolomé Ayautla ,4131.0
Santiago Ixtayutla ,13880.0
Pluma Hidalgo ,3255.0
San Juan Chicomezúchil,296.0
Villa Sola de Vega,12350.0
Matías Romero Avendaño ,38183.0
Asunción Ixtaltepec,15261.0
Santiago Huauclilla,525.0
Santiago Tlazoyaltepec ,6300.0
San Lucas Camotlán ,3187.0
Guadalupe de Ramírez ,1288.0
Santo Domingo Xagacía ,1205.0
Santa María Temaxcalapa ,903.0
Santa Ana Ateixtlahuaca ,477.0
San Miguel Yotao ,585.0
Ixpantepec Nieves ,1079.0
San Miguel el Grande ,4313.0
Candelaria Loxicha ,11166.0
Yutanduchi de Guerrero ,1195.0
San Marcos Arteaga ,1568.0
Santiago Tepetlapa ,130.0
Santa María Chimalapa ,9578.0
San Miguel Peras ,3818.0
Santiago Yaitepec ,4233.0
Ciudad Ixtepec,28082.0
Santa María Nativitas ,603.0
Santa María Yavesía ,434.0
San Andrés Yaá ,393.0
Santa María Yolotepec ,481.0
Constancia del Rosario ,4847.0
Salina Cruz,84438.0
San Mateo Etlatongo ,1239.0
San Juan de los Cués,2421.0
Santiago Textitlán ,4930.0
San Pedro Amuzgos,6632.0
Santa Cruz Tayata ,595.0
Santiago Tillo ,545.0
Santiago Tetepec ,4909.0
San Juan Comaltepec,3116.0
San Pedro Apóstol ,1594.0
Santa María Ipalapa ,4878.0
San Juan Ñumí,5773.0
Santa Catarina Tayata ,662.0
Cuilápam de Guerrero,26882.0
Santa María Petapa ,16706.0
San Miguel Quetzaltepec,7286.0
San Sebastián Nicananduta ,1542.0
San Juan Diuxi,1056.0
Santa Catarina Ixtepeji ,2675.0
Reyes Etla ,4370.0
San Pedro Atoyac ,4559.0
San Juan del Estado,2807.0
San Nicolás ,1214.0
San Pablo Etla,17116.0
Oaxaca de Juárez,270955.0
Santa María Lachixío ,1679.0
San Francisco Ozolotepec ,2182.0
San Miguel Chimalapa,6711.0
San Juan Cieneguilla,524.0
San Pedro Mártir Quiechapa ,738.0
San Sebastián Río Hondo ,4202.0
Santiago Ihuitlán Plumas ,341.0
Santiago Ayuquililla ,2904.0
Santa Catarina Lachatao ,1059.0
Ayoquezco de Aldama ,4874.0
San Miguel Chicahua ,2169.0
San Juan Yatzona ,440.0
Nazareno Etla ,4293.0
San Pablo Tijaltepec ,2751.0
Santa María Huatulco,50862.0
San Bartolo Soyaltepec ,596.0
Villa de Tamazulápam del Progreso,8326.0
Coatecas Altas ,5356.0
San Mateo Nejápam ,1217.0
San Pedro Cajonos ,1081.0
San Juan Teita,544.0
San Gabriel Mixtepec ,4910.0
San Juan Bautista Cuicatlán,10365.0
Nejapa de Madero,8494.0
Unión Hidalgo,14542.0
Santa María Yalina ,250.0
Tepelmeme Villa de Morelos,1960.0
Villa Tejúpam de la Unión ,2419.0
